Interaction,Protein A,Protein B,Reference,sp,Detection,Intensity,Detected,Tested
55,6K2,CI,[49],CIYVV,Y2H,,0,0
56,6K2,6K2,[49],CIYVV,Y2H,,0,0
57,6K2,VPg,[49],CIYVV,Y2H,,0,0
58,6K2,NIaPro,[49],CIYVV,Y2H,,0,0
59,6K2,NIb,[49],CIYVV,Y2H,,0,0
60,6K2,CP,[49],CIYVV,Y2H,,0,0
,,,,,,,,
61,VPg,P1,[49],CIYVV,Y2H,,0,1
62,VPg,HCPro,[49],CIYVV,Y2H,2,1,1
63,VPg,P3,[49],CIYVV,Y2H,,0,1
64,VPg,6K1,[49],CIYVV,Y2H,,0,1
65,VPg,CI,[49],CIYVV,Y2H,,0,1
66,VPg,6K2,[49],CIYVV,Y2H,,0,1
67,VPg,VPg,[49],CIYVV,Y2H,2,1,1
68,VPg,NIaPro,[49],CIYVV,Y2H,,0,1
69,VPg,NIb,[49],CIYVV,Y2H,,0,1
70,VPg,CP,[49],CIYVV,Y2H,,0,1
,,,,,,,,
71,NIaPro,P1,[49],CIYVV,Y2H,,0,1
72,NIaPro,HCPro,[49],CIYVV,Y2H,,0,1
73,NIaPro,P3,[49],CIYVV,Y2H,,0,1
74,NIaPro,6K1,[49],CIYVV,Y2H,,0,1
75,NIaPro,CI,[49],CIYVV,Y2H,,0,1
76,NIaPro,6K2,[49],CIYVV,Y2H,,0,1
77,NIaPro,VPg,[49],CIYVV,Y2H,,0,1
78,NIaPro,NIaPro,[49],CIYVV,Y2H,,0,1
79,NIaPro,NIb,[49],CIYVV,Y2H,,0,1
80,NIaPro,CP,[49],CIYVV,Y2H,,0,1
,,,,,,,,
81,NIb,P1,[49],CIYVV,Y2H,,0,1
82,NIb,HCPro,[49],CIYVV,Y2H,,0,1
83,NIb,P3,[49],CIYVV,Y2H,,0,1
84,NIb,6K1,[49],CIYVV,Y2H,,0,1
85,NIb,CI,[49],CIYVV,Y2H,,0,1
86,NIb,6K2,[49],CIYVV,Y2H,,0,1
87,NIb,VPg,[49],CIYVV,Y2H,,0,1
88,NIb,NIaPro,[49],CIYVV,Y2H,2,1,1
89,NIb,NIb,[49],CIYVV,Y2H,,0,1
90,NIb,CP,[49],CIYVV,Y2H,,0,1
,,,,,,,,
91,CP,P1,[49],CIYVV,Y2H,,0,0
92,CP,HCPro,[49],CIYVV,Y2H,,0,0
93,CP,P3,[49],CIYVV,Y2H,,0,0
94,CP,6K1,[49],CIYVV,Y2H,,0,0
95,CP,CI,[49],CIYVV,Y2H,,0,0
96,CP,6K2,[49],CIYVV,Y2H,,0,0
97,CP,VPg,[49],CIYVV,Y2H,,0,0
98,CP,NIaPro,[49],CIYVV,Y2H,,0,0
99,CP,NIb,[49],CIYVV,Y2H,,0,0
100,CP,CP,[49],CIYVV,Y2H,,0,0
