Interaction,Protein A,Protein B,Reference,sp,Detection,Intensity,Detected,Tested
43,CI,P3,[48],SMV-G7H,Y2H,,0,1
44,CI,6K1,[48],SMV-G7H,Y2H,,0,1
45,CI,CI,[48],SMV-G7H,Y2H,,0,1
46,CI,6K2,[48],SMV-G7H,Y2H,,0,1
47,CI,VPg,[48],SMV-G7H,Y2H,,0,1
48,CI,NIaPro,[48],SMV-G7H,Y2H,,0,1
49,CI,NIb,[48],SMV-G7H,Y2H,,0,1
50,CI,CP,[48],SMV-G7H,Y2H,,0,1
,,,,,,,,
51,6K2,P1,[48],SMV-G7H,Y2H,,0,1
52,6K2,HCPro,[48],SMV-G7H,Y2H,,0,1
53,6K2,P3,[48],SMV-G7H,Y2H,,0,1
54,6K2,6K1,[48],SMV-G7H,Y2H,,0,1
55,6K2,CI,[48],SMV-G7H,Y2H,,0,1
56,6K2,6K2,[48],SMV-G7H,Y2H,,0,1
57,6K2,VPg,[48],SMV-G7H,Y2H,,0,1
58,6K2,NIaPro,[48],SMV-G7H,Y2H,,0,1
59,6K2,NIb,[48],SMV-G7H,Y2H,,0,1
60,6K2,CP,[48],SMV-G7H,Y2H,,0,1
,,,,,,,,
61,VPg,P1,[48],SMV-G7H,Y2H,,0,1
62,VPg,HCPro,[48],SMV-G7H,Y2H,,0,1
63,VPg,P3,[48],SMV-G7H,Y2H,,0,1
64,VPg,6K1,[48],SMV-G7H,Y2H,,0,1
65,VPg,CI,[48],SMV-G7H,Y2H,,0,1
66,VPg,6K2,[48],SMV-G7H,Y2H,,0,1
67,VPg,VPg,[48],SMV-G7H,Y2H,,0,1
68,VPg,NIaPro,[48],SMV-G7H,Y2H,2,1,1
69,VPg,NIb,[48],SMV-G7H,Y2H,,0,1
70,VPg,CP,[48],SMV-G7H,Y2H,,0,1
,,,,,,,,
71,NIaPro,P1,[48],SMV-G7H,Y2H,,0,1
72,NIaPro,HCPro,[48],SMV-G7H,Y2H,1,1,1
73,NIaPro,P3,[48],SMV-G7H,Y2H,,0,1
74,NIaPro,6K1,[48],SMV-G7H,Y2H,,0,1
75,NIaPro,CI,[48],SMV-G7H,Y2H,,0,1
76,NIaPro,6K2,[48],SMV-G7H,Y2H,,0,1
77,NIaPro,VPg,[48],SMV-G7H,Y2H,2,1,1
78,NIaPro,NIaPro,[48],SMV-G7H,Y2H,3,1,1
79,NIaPro,NIb,[48],SMV-G7H,Y2H,,0,1
80,NIaPro,CP,[48],SMV-G7H,Y2H,,0,1
,,,,,,,,
81,NIb,P1,[48],SMV-G7H,Y2H,,0,1
82,NIb,HCPro,[48],SMV-G7H,Y2H,,0,1
83,NIb,P3,[48],SMV-G7H,Y2H,,0,1
84,NIb,6K1,[48],SMV-G7H,Y2H,,0,1
85,NIb,CI,[48],SMV-G7H,Y2H,,0,1
86,NIb,6K2,[48],SMV-G7H,Y2H,,0,1
87,NIb,VPg,[48],SMV-G7H,Y2H,,0,1
88,NIb,NIaPro,[48],SMV-G7H,Y2H,,0,1
89,NIb,NIb,[48],SMV-G7H,Y2H,,0,1
90,NIb,CP,[48],SMV-G7H,Y2H,,0,1
,,,,,,,,
91,CP,P1,[48],SMV-G7H,Y2H,,0,1
92,CP,HCPro,[48],SMV-G7H,Y2H,3,1,1
93,CP,P3,[48],SMV-G7H,Y2H,,0,1
94,CP,6K1,[48],SMV-G7H,Y2H,,0,1
95,CP,CI,[48],SMV-G7H,Y2H,,0,1
96,CP,6K2,[48],SMV-G7H,Y2H,,0,1
97,CP,VPg,[48],SMV-G7H,Y2H,,0,1
98,CP,NIaPro,[48],SMV-G7H,Y2H,,0,1
99,CP,NIb,[48],SMV-G7H,Y2H,,0,1
100,CP,CP,[48],SMV-G7H,Y2H,4,1,1
