Interaction,Protein A,Protein B,Reference,sp,Detection,Intensity,Detected,Tested
37,6K1,VPg,[46],PVA,Y2H,,0,0
38,6K1,NIaPro,[46],PVA,Y2H,,0,0
39,6K1,NIb,[46],PVA,Y2H,,0,0
40,6K1,CP,[46],PVA,Y2H,,0,0
,,,,,,,,
41,CI,P1,[46],PVA,Y2H,,0,1
42,CI,HCPro,[46],PVA,Y2H,3,1,1
43,CI,P3,[46],PVA,Y2H,,0,1
44,CI,6K1,[46],PVA,Y2H,,0,1
45,CI,CI,[46],PVA,Y2H,,0,1
46,CI,6K2,[46],PVA,Y2H,,0,1
47,CI,VPg,[46],PVA,Y2H,,0,1
48,CI,NIaPro,[46],PVA,Y2H,,0,1
49,CI,NIb,[46],PVA,Y2H,,0,1
50,CI,CP,[46],PVA,Y2H,1,1,1
,,,,,,,,
51,6K2,P1,[46],PVA,Y2H,,0,0
52,6K2,HCPro,[46],PVA,Y2H,,0,0
53,6K2,P3,[46],PVA,Y2H,,0,0
54,6K2,6K1,[46],PVA,Y2H,,0,0
55,6K2,CI,[46],PVA,Y2H,,0,0
56,6K2,6K2,[46],PVA,Y2H,,0,0
57,6K2,VPg,[46],PVA,Y2H,,0,0
58,6K2,NIaPro,[46],PVA,Y2H,,0,0
59,6K2,NIb,[46],PVA,Y2H,,0,0
60,6K2,CP,[46],PVA,Y2H,,0,0
,,,,,,,,
61,VPg,P1,[46],PVA,Y2H,1,1,1
62,VPg,HCPro,[46],PVA,Y2H,1,1,1
63,VPg,P3,[46],PVA,Y2H,,0,1
64,VPg,6K1,[46],PVA,Y2H,,0,1
65,VPg,CI,[46],PVA,Y2H,,0,1
66,VPg,6K2,[46],PVA,Y2H,,0,1
67,VPg,VPg,[46],PVA,Y2H,3,1,1
68,VPg,NIaPro,[46],PVA,Y2H,1,1,1
69,VPg,NIb,[46],PVA,Y2H,,0,1
70,VPg,CP,[46],PVA,Y2H,,0,1
,,,,,,,,
71,NIaPro,P1,[46],PVA,Y2H,,0,1
72,NIaPro,HCPro,[46],PVA,Y2H,1,1,1
73,NIaPro,P3,[46],PVA,Y2H,,0,1
74,NIaPro,6K1,[46],PVA,Y2H,,0,1
75,NIaPro,CI,[46],PVA,Y2H,,0,1
76,NIaPro,6K2,[46],PVA,Y2H,,0,1
77,NIaPro,VPg,[46],PVA,Y2H,2,1,1
78,NIaPro,NIaPro,[46],PVA,Y2H,,0,1
79,NIaPro,NIb,[46],PVA,Y2H,2,1,1
80,NIaPro,CP,[46],PVA,Y2H,,0,1
,,,,,,,,
81,NIb,P1,[46],PVA,Y2H,,0,1
82,NIb,HCPro,[46],PVA,Y2H,,0,1
83,NIb,P3,[46],PVA,Y2H,1,1,1
84,NIb,6K1,[46],PVA,Y2H,,0,1
85,NIb,CI,[46],PVA,Y2H,,0,1
86,NIb,6K2,[46],PVA,Y2H,,0,1
87,NIb,VPg,[46],PVA,Y2H,,0,1
88,NIb,NIaPro,[46],PVA,Y2H,,0,1
89,NIb,NIb,[46],PVA,Y2H,,0,1
90,NIb,CP,[46],PVA,Y2H,3,1,1
,,,,,,,,
91,CP,P1,[46],PVA,Y2H,,0,1
92,CP,HCPro,[46],PVA,Y2H,,0,1
93,CP,P3,[46],PVA,Y2H,,0,1
94,CP,6K1,[46],PVA,Y2H,,0,1
95,CP,CI,[46],PVA,Y2H,,0,1
96,CP,6K2,[46],PVA,Y2H,,0,1
97,CP,VPg,[46],PVA,Y2H,,0,1
98,CP,NIaPro,[46],PVA,Y2H,,0,1
99,CP,NIb,[46],PVA,Y2H,,0,1
100,CP,CP,[46],PVA,Y2H,,0,1
